1687,47
993,384
1987,951
2136,350
1264,577
1896,1589
1015,829
893,402
1054,955
1394,284
2181,1643
2316,1115
1380,1039
1403,898
2104,1069
1806,1091
1881,966
1844,1528
2091,1066
596,383
2022,1537
1238,149
861,777
1810,741
1641,1219
827,90
1016,829
2104,993
1031,955
1772,1271
2195,1330
2059,1779
1107,801
1569,846
1077,277
1640,1501
2097,1460
2157,1909
1858,943
2049,1069
1149,155
1022,331
845,68
1867,1528
1920,127
2047,1537
1351,598
2156,220
1023,384
1969,951
1394,1248
1805,799
2328,174
993,829
2097,993
796,436
1321,935
2203,1643
2048,1779
1394,1039
2150,1909
1867,943
575,570
676,234
2058,1069
1265,360
2092,1415
1858,1528
720,86
879,777
1342,598
2226,1333
966,384
1940,1874
1002,829
1396,942
2058,993
779,436
1342,935
958,141
1403,1039
2143,1909
2058,1012
1348,898
766,80
1813,1091
1826,966
2085,1415
2226,1457
1556,546
2267,337
1475,827
804,102
2116,1066
2328,1907
1987,328
888,777
2301,1332
1813,1445
1303,1122
2037,741
2019,1232
551,452
567,187
1575,1538
2051,993
1859,1296
2310,113
1221,151
1283,28
1594,846
1337,830
694,234
249,211
1988,1666
2030,1172
1732,798
2267,219
1266,149
2157,1196
2210,2075
993,183
1039,815
1998,741
799,90
1069,577
1219,493
1968,1806
527,373
1346,851
1736,1271
1987,1862
1549,846
1233,277
1417,1039
2205,2203
1366,898
748,80
600,570
1651,633
899,177
1238,360
930,331
2305,887
2015,1666
2212,1457
1457,827
1742,899
1230,576
693,86
2240,219
1259,149
778,777
1337,1122
1060,1047
1562,1219
565,452
1979,1806
1417,942
835,402
1503,1493
1545,1538
1285,935
2010,1862
1265,28
1438,1039
2103,1012
1185,898
1840,1091
2326,567
939,331
239,211
2171,1776
2006,1666
1066,950
2205,1457
1695,694
2012,1172
942,383
1631,1348
1979,1003
1993,1818
1912,1445
2190,1333
1896,1874
241,90
1017,373
1392,851
2009,955
1334,1271
2244,1643
1208,898
2175,1069
1993,1091
798,705
2198,1457
1909,1528
1622,1348
1920,1003
2010,127
2209,76
1631,47
2048,350
1969,99
248,90
1941,1806
693,402
643,636
2256,1330
1956,1862
2253,1643
2232,2203
1203,898
2315,620
1006,177
953,331
2191,1457
1603,546
1568,798
1987,127
2310,116
2216,76
2059,350
1945,1589
1987,1031
1554,1538
1003,373
989,436
2000,1501
1061,726
2085,1909
2322,620
712,80
2280,966
2159,1415
1667,1528
1762,899
1444,1348
657,86
1148,601
1159,149
1549,328
2004,1718
1859,1445
1581,47
1535,598
903,384
1129,951
1267,27
2290,350
1006,930
980,436
1309,1271
1039,151
2242,1330
2229,1317
2004,1091
2010,597
1410,827
2181,1066
958,446
1856,1537
1208,149
1586,47
2282,1333
910,384
2019,874
2048,70
1107,577
2030,1806
963,436
1298,1271
448,318
2279,1955
1475,1039
